sample,type
5f6a783169e0c9728e5b2297.json,Scan port 445 SMB (S3#)
5f687b2b556eaf680b2673ec.json,Scan port 111 PORTMAP (S3#)
5f687c06b478f92d0643dffb.json,Scan port 3389 RDP (S3#)
5f6c6feae941579df3bb7f1d.json,Scan port 1900 UPnP (S3#)
5f6704c853b035b73dd27ed9.json,Scan port 1900 UPnP (S3#)
5f7459487e05cb2ff755bd5b.json,Scan port 81 Skype (S3#)
5f706418e1993845da730eda.json,Scan port 111 PORTMAP (S3#)
5f72610901026ceed012fdcc.json,Scan port 445 SMB (S3#)
5f5061c826ec98e0793afff5.json,Detected Phishing URLs via OpenPhish
5f67d528bd0f12d2994c5af7.json,Scan port 445 SMB (S3#)
5f6d18f036ab4df99348a71e.json,Scan port 81 Skype (S3#)
5b845ec20f10e73ba23237d4.json,Mirai Botnet
5f69cdb1b9bfd5983a9d628e.json,Scan port 53 DNS (S3#)
5f6f12a433bd87fa7e730eda.json,Scan port 135 DCOM RPC (S3#)
5f7af10b315a4cf81ae04448.json,Scan port 53 DNS (S3#)
5f6a762684654d23fb7f48ac.json,Scan port 3389 RDP (S3#)
5f79a16b6db22a9af32934c0.json,Scan port 23 Telnet (S3#)
5f8036b0b95b71fb1754143f.json,Scan port 5060 SIP (S3#)
5f7e3bffb17f868136bcd021.json,Scan port 8080 HTTP and proxy (S3#)
5f687b6b66c8021892c88c2c.json,Scan port 139 NETBIOS (S3#)
5f6e6a9bbeb797936b54e02f.json,Scan port 3389 RDP (S3#)
5f6a75c9ad5320eb251ea9f7.json,Scan port 5060 SIP (S3#)
5f75aac01999375b2fa50cac.json,Scan port 3389 RDP (S3#)
5f7307e1dc8d8ccdcbb9c337.json,Scan port 3389 RDP (S3#)
5f6f133f5e169a623ce9b86d.json,Scan port 81 Skype (S3#)
5f67d50866f9bdaa6a10c096.json,Scan port 23 Telnet (S3#)
5f7c449d5df2fb8d70a7d44e.json,Scan port 445 SMB (S3#)
5f7f8e78caf09711b1cb8ba4.json,Scan port 81 Skype (S3#)
5f7cead062ffb9e60a2c6f24.json,Scan port 5060 SIP (S3#)
5f6c725321e4c0a45ce89367.json,Scan port 23 Telnet (S3#)
5f8036340ea861be8ef6a963.json,Scan port 111 PORTMAP (S3#)
5f6d18555b106e074454e02f.json,Scan port 135 DCOM RPC (S3#)
5f69cd92fcfa1d7d33eed1c3.json,Scan port 3389 RDP (S3#)
5f69cf7fc57121ef7a4a0f67.json,Scan port 23 Telnet (S3#)
5f7e3c9a69d3ca310a93aceb.json,Scan port 1900 UPnP (S3#)
5f6a76072b434633b3df3861.json,Scan port 81 Skype (S3#)
5f72e90a2fc493936100c065.json,NewDom-2-20200929
5ebca7e4e49c4c7ffae8eeeb.json,Unknown linked malware delivery using public data sets
5f7ee617e6f318b6a1f69b6a.json,Scan port 81 Skype (S3#)
5f76fbc8256513195c5542ed.json,Scan port 1900 UPnP (S3#)
5f66813509462f2c307a7616.json,Scan port 1900 UPnP (S3#)
5f706514c7aa9e318254e030.json,Scan port 53 DNS (S3#)
5f69cf9e5984b80dadba0588.json,Scan port 445 SMB (S3#)
5f71b5a593a3412155e2169e.json,Scan port 135 DCOM RPC (S3#)
5f784d50864dc961e5b49526.json,Scan port 139 NETBIOS (S3#)
5f687b8a6a29698256ba842e.json,Scan port 1900 UPnP (S3#)
5f8035f5241bad87df5e1137.json,Scan port 8080 HTTP and proxy (S3#)
5a73dce9a0cfdc0c93945d8b.json,IoT DDoS Linux malware non-Mirai C2 (Nov 2017 - Jan 2018)
5f710c6cb546123ee954e02f.json,Scan port 8080 HTTP and proxy (S3#)
5f77a72e11a3d29ff0bef87e.json,Scan port 445 SMB (S3#)
5f7b99789ad422a48795a637.json,Scan port 5060 SIP (S3#)
5f76fba89ea39e7439888480.json,Scan port 139 NETBIOS (S3#)
5f78f8ae58107b3ebf3af6fe.json,Scan port 445 SMB (S3#)
5f78f6bffece785b272377b9.json,Scan port 53 DNS (S3#)
5f4cae518d46a9949dd1eba9.json,Mirai Botnet
5f7e3d3436f3b977fbeb5c41.json,Scan port 53 DNS (S3#)
5f7196325ee2ed823c7c7a20.json,Mirai Botnet
5f80de5b8c93276908391a97.json,Scan port 3390 DSC (S3#)
5f67d261b3657b0fadf5be5f.json,Scan port 135 DCOM RPC (S3#)
5f687be6e47d02a54ec88c2b.json,Scan port 81 Skype (S3#)
5f750216f89e416caf505d5f.json,Scan port 81 Skype (S3#)
5f76533a32652374e3505d5f.json,Scan port 5060 SIP (S3#)
5f7b993bf069e51ed0fd4ff4.json,Scan port 139 NETBIOS (S3#)
5f7a470948da9072062934c0.json,Scan port 8080 HTTP and proxy (S3#)
5f6bc730544492bf0f25fc18.json,Scan port 1900 UPnP (S3#)
5f6924d0a8238ede36a610c8.json,Scan port 3389 RDP (S3#)
5f710d61dc997aa1b0e9b86d.json,Scan port 81 Skype (S3#)
5f76531b3e81ee32d6e04448.json,Scan port 1900 UPnP (S3#)
5f7ee59a723337610c0a87c5.json,Scan port 139 NETBIOS (S3#)
5f7d962224dd20912ea20d9c.json,Scan port 23 Telnet (S3#)
5f668154820ce91acf43dffb.json,Scan port 5060 SIP (S3#)
5f76fbe75a70e3e9223bafaa.json,Scan port 5060 SIP (S3#)
5f7b9be38864d71d34a7d44e.json,Scan port 445 SMB (S3#)
5f76fb890f0405f4b2983add.json,Scan port 135 DCOM RPC (S3#)
5f7d939b09543f094a93aceb.json,Scan port 139 NETBIOS (S3#)
5f6d1b1d50ad2eacdb33df15.json,Scan port 445 SMB (S3#)
5f7ced197cea7c25fc3b34ed.json,Scan port 23 Telnet (S3#)
5f6f135edfc4b7c5f0c799ee.json,Scan port 3389 RDP (S3#)
5f7d93baac8a881af9e22bd1.json,Scan port 1900 UPnP (S3#)
5f672cb2eac65481d17a7616.json,Scan port 445 SMB (S3#)
5f7d93f8384910b72d2c6f24.json,Scan port 5061 SIP (S3#)
5f61c16e6b24c869a66e7d00.json,Scan port 5061 SIP (S3#)
5f6c708663e97a73c91863a9.json,Scan port 53 DNS (S3#)
5f7066e18a29dd1c2fbb7f1d.json,Scan port 23 Telnet (S3#)
5bb24bb99a2b240f3563e67b.json,Infected host by unconfirmed variety
5f0a50ec6984025a645b6197.json,Gmail - Retire.js Unknown Errors on Page - Google ajax cve- api abuse - centreserve.com - Sebastian Clark
5f7309eba7c60bbafd303c0f.json,Scan port 445 SMB (S3#)
5f6bc74fe39731f99ae9b86d.json,Scan port 5060 SIP (S3#)
5f7ee8465380d79db6339049.json,Scan port 445 SMB (S3#)
5f80e19b5da1d5addccdf4d0.json,Scan port 445 SMB (S3#)
5f784d8ebf1d2b85912e2caf.json,Scan port 5060 SIP (S3#)
5f78f58bc677f706683bafaa.json,Scan port 8080 HTTP and proxy (S3#)
5f77a464d200a727072e2caf.json,Scan port 135 DCOM RPC (S3#)
5f7a47a1213f2c985ab6ba04.json,Scan port 1900 UPnP (S3#)
5f65d88dc6348d7dd241204d.json,Scan port 81 Skype (S3#)
5f725e619e2a2ef7937c7a20.json,Scan port 139 NETBIOS (S3#)
5f6f12487b3bb9c922303c0f.json,Scan port 8080 HTTP and proxy (S3#)
5f73af7ae2b42db7ced521f3.json,Scan port 8080 HTTP and proxy (S3#)
5c04fd7dd995920d312bca24.json,Mirai-736
5f65d249a1dcc2504d41204c.json,NewDom-3-20200919
5f75011f7c2a019cae3af6fe.json,Scan port 8080 HTTP and proxy (S3#)
5f7cea180c4e16330b93aceb.json,Scan port 8080 HTTP and proxy (S3#)
5f7c41b7c68dc633ed55d28a.json,Scan port 111 PORTMAP (S3#)
5f80df8e27dbcd25da56a3aa.json,Scan port 3389 RDP (S3#)
5f67d2a08ff8ff2e08f89480.json,Scan port 1900 UPnP (S3#)
5f668173dd1c888d82f89480.json,Scan port 5061 SIP (S3#)
5f80df32b09769355f842a6e.json,Scan port 5060 SIP (S3#)
5f7f908410c708557913c757.json,Scan port 23 Telnet (S3#)
5f7ee52039ea4e9e7e7373de.json,Scan port 8080 HTTP and proxy (S3#)
5f6923f6d88ed9e66aef868e.json,Scan port 111 PORTMAP (S3#)
5f6680b959e5eee38f2673ec.json,Scan port 123 NTP (S3#)
5f77a4840395517742786dcb.json,Scan port 139 NETBIOS (S3#)
5f5615c5f3ad6095c94ea473.json,Mirai Botnet
5f672a28375cb7b82bc88c2b.json,Scan port 1900 UPnP (S3#)
5f672a48da1cfe1f62ba842e.json,Scan port 5060 SIP (S3#)
