sample,type
27f9232d24acc7f7af9861b9964ee6ec4a484742b6b93f52ec3e6fb3c342fdad.json,"['Trojan', 'Gafgyt']"
b6731b5922f73f60f51aa0661dfb2cd3986ba8fd274424216d2c38018448aee6.json,"['DDoS', 'Lightaidra']"
e651a05c9cb0bde4e8efa635f699ba3e186afd4ae4c42760e3d97ffa01d8c8ca.json,[]
3125eb35cc3475be67fecfdba5b86121739306afcb78e2f5ace4695cabfc25fa.json,"['DDoS', 'Lightaidra']"
7ce3b47ba3d0a8a50471bcdf326b55f16946bf545fb8b06d842b201884102345.json,"['Trojan', 'Gafgyt']"
7131a30d9643ec4934989a6cc233f8e52a1eb8ff8eab9d66097f579ac8c25c33.json,[]
8cc62232b9299a361a25a6c9e6ef82d9bed1c0bd80a7ef9c01b47e9f787c5080.json,"['Trojan', 'Gafgyt']"
1c5df0f7e7fd6bbe9890297979450ed3ada38e4fdfa9e63a5967352170c532df.json,[]
678987b2440642c8de2c1006adbc86a8b2ad2e4235c44f10deb23d98e2d68d77.json,[]
d32355b8049127467a3b6b77d1ca3f95798b6bf189b6828ac07b737f4345062b.json,[]
a9fab42588ccc25307dbf4073cdc9cb90bb257d48746228dfdcda3e199bdd8ca.json,[]
5837fb1610238339c6eea53d3285a3a4e9f8293566a4b0b6d156d525d08f3208.json,"['Trojan', 'Dnsamp']"
6f38aa29c7710ce8dcbd65d30c3afb1d5171afec4e9e9fed1038788b6c147261.json,"['HackTool', 'HackTool']"
b7fb8363d4d8206db03e5b1e0430764c5e0d6bc035b0679933d3918311a167f5.json,"['Backdoor', 'Setag!rfn']"
383e2a9c2b04ce287d879c7542928791553bac8a0c7412e231a4d787073bd354.json,"['Trojan', 'Lady']"
ca55eb34747506e6dfa4afa03df6f910238a5f81c8f22cc2cdfce0dcf5254d9b.json,[]
988340172e8d6ba3e7ac31a4f554fcb8d75ca72329652def35047399e5f93cd9.json,"['Trojan', 'Gafgyt']"
d77132467f1df12593e486e369ad4421cfca49ec0cf3596e219618bad7e6d197.json,[]
3130f14ed18685dd6b43f9c4f95c0f2c470fb023b96cdbd0f0eb49b6400df99f.json,[]
3184f6b881bcddf988959e47fc514b5f7b9986ca492ba1da7c34dc1c865f2b76.json,"['Trojan', 'Gafgyt']"
b01e42c0bc669c108c262b3964a7677e111bd2993df12f0c9703d1b66b973db0.json,"['potentially unwanted', 'CoinMiner']"
8673fede897ae483337e462ebfb918d12ecd8cf97b0d33c0e653600243c9e85f.json,[]
b28a2795b813573f5f650e3f420117596aab54c1db5ea32e71144fb40125f481.json,"['Trojan', 'Gafgyt']"
6879ff10d167290f958124252497c97abfadb34794b207eddc94548cd3c40db6.json,"['Virus', 'Vit']"
adaf0cdad5028667af291dac5ad5f29d0591d488b15779e8fc5dbfc862687322.json,"['Trojan', 'Mirai']"
6f8156a79691e3e9dc597383394def59e4526928292bc7d70959193fd54d462f.json,"['HackTool', 'HackTool']"
0f4a31f255a75169f08ba07ef2a1299a81bc6e732cdc47401d38ea1d644b13a9.json,"['Trojan', 'Mirai']"
8de7fc22c2120df00fb76f24ff081faa07b2acdf665326fac19a06ebae428be2.json,[]
47bf33fd353be8b334f188c839dac4a6a1b71fe220a1c98122628cc5fddabe3d.json,"['Trojan', 'Xorddos']"
44978bc7a9258743e28fcfb4ca3f0c6d7533c6933b4e6bc333e61265a26e9729.json,"['Backdoor', 'Setag!rfn']"
d16fe7832896538e8ff61cb3c621b9890beaacf9e9374b20d473be6c6e3fa2a8.json,"['Virus', 'Vit']"
b863f99362cb24ac2c602a1585a7e11b5294aacbfd5e397a82633456ee8ddbad.json,[]
260984b3489e5be89f1055e586e1bb99be4f36fba522c058ea5f81202d3fa9ae.json,"['Trojan', 'Xorddos']"
78e3ae94568a0d84e475358c2d5bd957ced2a5325d966d69968ea0de7453db11.json,"['Trojan', 'Skeeyah']"
1f8dd04dac4b0e51fa08581a34a416b9fa389f24b5bf4acc4752f1855121faeb.json,[]
335f0a8ffba556591d24406f431f4f7ada80a9afeee3494a23aad461f6e7c9fc.json,"['HackTool', 'HackTool']"
f71101b92c405f9cf57e3a1a01df0ff0dc5232262351d46eab1fecc17d955be3.json,"['Backdoor', 'Setag!rfn']"
549b84b5841e824c9da92d8f2b8179d3dc88a36be666b7eb1db850d6039be8ff.json,"['DoS', 'Elknot']"
f64af95cb44a8de492ff0c8c6da4c4d33712c32d49552882f4b5719d675645cb.json,"['Virus', 'Vit']"
c78a84f5f4735204df845edb857e464e73cf16d5c92e1ab5b2808d6f0eb89a60.json,"['Trojan', 'Mirai']"
eb3c80c02d633c2dc160ab92b37e2650fcb2b9487d9576fa64f7a8eaa4388ca8.json,"['Trojan', 'Gafgyt']"
15ddd2aa0259147e06227f8ef5e99aeb4a8fea909e4f5330d1d6b488daa46fce.json,"['Virus', 'Vit']"
3beb1e53cfbd914ab4935fb92cfb431d3bbaa23397ba20b7ff3491497967f702.json,[]
68dbef215e6624a3e4d7f7bb0510a204fd335bf55c5c895c3406071f2467de3e.json,"['HackTool', 'HackTool']"
b8595aea5936b352f4fd34c521872b51d14426ca583327eadf979b1a10aa611a.json,"['Trojan', 'Roopre']"
c0fdbdbdc70d50c09de9034a7ffed19b5bba453d7364bdfdbe0109dceaca5829.json,"['Trojan', 'Mirai']"
a6334707490855b99f4d00350dc03648b354ccf4221dc65f31d5243f15abcc6d.json,"['Trojan', 'Gafgyt']"
6622f522830caf52be87f108c8fcff416e86d07129f74cee7fa2382e2a6a85e8.json,"['Trojan', 'Gafgyt']"
910318471b56bf3c46948e0501d7fcd2fdd57b6d428d9295ee200086373c9fa7.json,"['Backdoor', 'Setag!rfn']"
a16280666d5c9ba3c0608e178b09a6d360c272a432bdbbf108f5fa7fd4b461e4.json,"['Trojan', 'Gafgyt']"
093345f1ab4f51858b81fe247be5e56fcff53ea87f62c7d4fc0e8e962ed1e33e.json,"['Virus', 'Vit']"
6640d565a7fa5039c383b89243d4b9d2db68647c743dabf7b3ac8a5b6e944460.json,"['DoS', 'Elknot!rfn']"
34c4935ff6b8c649190710ba0d508d1415d9a1e5d6368df907f05fe9ec2284c9.json,"['Exploit', 'CVE-2011-1823!rfn']"
e6e28543f3e382d122f1c07c05a49f27f0a7910cf1cf34adb79363962b8b6e5c.json,"['Trojan', 'Skeeyah']"
07d6667989d71ed4ae041742566afef98ae6aa36b7800ae78e3de825456c44cb.json,[]
2c030e74c9af1bcec273ccdaa0aefd1824793adac8e6738155dd93cf9f75f274.json,[]
129f04ea68ba8c7407d9d4a2feb92c1c3438f360df4c13ffd5edc0ddcfd160bf.json,"['Trojan', 'Mirai']"
527828e1d537ac36de504ed0ba50867e1acafe2f64f697647af694d3cdd78405.json,"['Virus', 'Vit']"
12a2ae2f8862c5aa94a79f8856e763444942b805c2ebe88479d44436a62602d2.json,"['potentially unwanted', 'CoinMiner']"
17a8b13998a1bead07ef1ed85357d4a69159e77a4bb03c12543e6653076c8a3f.json,"['DoS', 'Xorddos!rfn']"
d92d8b8ea6bb92bab0051a40d455f472e0d8f2141014d88eeab6c9d11ee96fc2.json,"['Trojan', 'Xorddos']"
acc466bb7e8160721e8a382b3ef986966867c297c74ef45ca98e7f39210dca57.json,"['Trojan', 'Gafgyt']"
d587b18b181381e915c9484652a0bdc9ada8742e9e0438b3f8fca9dfd537892c.json,"['Virus', 'Vit']"
8f4d747e5c8febcc24867ba6f6865cee5118bd1ddd251d3efce4120ed88a78b9.json,"['Backdoor', 'Setag!rfn']"
8b9bd0b7b43ce0cf829c9e50cbf47a6107e30f27209c2713daa3c0749d9b0eee.json,"['Backdoor', 'Setag!rfn']"
2985f3c44c2f4a16c4ce0e7de214cf1a49ea4f93685ffc97220db65c07c4a1b7.json,"['DDoS', 'Lightaidra']"
daf234828697ca46568183472c537768fbd2d89639aa0497a70fb878e9ca7ee9.json,"['DDoS', 'Lightaidra!rfn']"
16e6123931308a7aebe58388a21ae8ab250b1845c3b39b176fa9a4004100b81c.json,[]
1f9cf55125c17dea99bf4135d09680c5f1738c6474d91b05cbfb5fd460dc1daa.json,"['Trojan', 'Xorddos']"
b88504fb961a3af44504804a77fb7547e4db3a55ebd49585947b720a3e99aa98.json,"['Exploit', 'Madvise']"
3588cec909752edea6ce84e615b4c8d02a722882d0e21ca0d9bf30c34fb536bb.json,"['Backdoor', 'Setag!rfn']"
9883752193bf865198a9997bb4067332cea9ffbc59b8f819307ab69bcf74fd7e.json,"['Backdoor', 'Setag!rfn']"
178ea14a73bbbe2b33846cd5e2ae51d07f52922e79a34c520626f17224cdc24e.json,"['DDoS', 'Lightaidra']"
